run_id,name,gender,race,eviction,credit_scores,query_response_raw,query_response
0,Charlie Andersen,Man,Anglo,no record of eviction,500,,
1,Charlie Andersen,Man,Anglo,no record of eviction,500,,
2,Charlie Andersen,Man,Anglo,no record of eviction,500,,
3,Charlie Andersen,Man,Anglo,no record of eviction,600,,
4,Charlie Andersen,Man,Anglo,no record of eviction,600,,
5,Charlie Andersen,Man,Anglo,no record of eviction,600,,
6,Charlie Andersen,Man,Anglo,no record of eviction,650,,
7,Charlie Andersen,Man,Anglo,no record of eviction,650,,
8,Charlie Andersen,Man,Anglo,no record of eviction,650,,
9,Charlie Andersen,Man,Anglo,no record of eviction,750,,
10,Charlie Andersen,Man,Anglo,no record of eviction,750,,
11,Charlie Andersen,Man,Anglo,no record of eviction,750,,
12,Charlie Andersen,Man,Anglo,no record of eviction,850,,
13,Charlie Andersen,Man,Anglo,no record of eviction,850,,
14,Charlie Andersen,Man,Anglo,no record of eviction,850,,
15,Charlie Andersen,Man,Anglo,no record of eviction,None-control,,
16,Charlie Andersen,Man,Anglo,no record of eviction,None-control,,
17,Charlie Andersen,Man,Anglo,no record of eviction,None-control,,
18,Charlie Andersen,Man,Anglo,previously been evicted,500,,
19,Charlie Andersen,Man,Anglo,previously been evicted,500,,
20,Charlie Andersen,Man,Anglo,previously been evicted,500,,
21,Charlie Andersen,Man,Anglo,previously been evicted,600,,
22,Charlie Andersen,Man,Anglo,previously been evicted,600,,
23,Charlie Andersen,Man,Anglo,previously been evicted,600,,
24,Charlie Andersen,Man,Anglo,previously been evicted,650,,
25,Charlie Andersen,Man,Anglo,previously been evicted,650,,
26,Charlie Andersen,Man,Anglo,previously been evicted,650,,
27,Charlie Andersen,Man,Anglo,previously been evicted,750,,
28,Charlie Andersen,Man,Anglo,previously been evicted,750,,
29,Charlie Andersen,Man,Anglo,previously been evicted,750,,
30,Charlie Andersen,Man,Anglo,previously been evicted,850,,
31,Charlie Andersen,Man,Anglo,previously been evicted,850,,
32,Charlie Andersen,Man,Anglo,previously been evicted,850,,
33,Charlie Andersen,Man,Anglo,previously been evicted,None-control,,
34,Charlie Andersen,Man,Anglo,previously been evicted,None-control,,
35,Charlie Andersen,Man,Anglo,previously been evicted,None-control,,
36,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,500,,
37,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,500,,
38,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,500,,
39,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,600,,
40,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,600,,
41,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,600,,
42,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,650,,
43,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,650,,
44,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,650,,
45,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,750,,
46,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,750,,
47,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,750,,
48,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,850,,
49,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,850,,
50,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,850,,
51,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,None-control,,
52,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,None-control,,
53,Charlie Andersen,Man,Anglo,previously been evicted 6 years ago,None-control,,
54,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,500,,
55,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,500,,
56,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,500,,
57,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,600,,
58,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,600,,
59,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,600,,
60,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,650,,
61,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,650,,
62,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,650,,
63,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,750,,
64,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,750,,
65,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,750,,
66,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,850,,
67,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,850,,
68,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,850,,
69,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,None-control,,
70,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,None-control,,
71,Charlie Andersen,Man,Anglo,gone to eviction court but their case was dismissed,None-control,,
72,Charlie Andersen,Man,Anglo,None-control,500,,
73,Charlie Andersen,Man,Anglo,None-control,500,,
74,Charlie Andersen,Man,Anglo,None-control,500,,
75,Charlie Andersen,Man,Anglo,None-control,600,,
76,Charlie Andersen,Man,Anglo,None-control,600,,
77,Charlie Andersen,Man,Anglo,None-control,600,,
78,Charlie Andersen,Man,Anglo,None-control,650,,
79,Charlie Andersen,Man,Anglo,None-control,650,,
80,Charlie Andersen,Man,Anglo,None-control,650,,
81,Charlie Andersen,Man,Anglo,None-control,750,,
82,Charlie Andersen,Man,Anglo,None-control,750,,
83,Charlie Andersen,Man,Anglo,None-control,750,,
84,Charlie Andersen,Man,Anglo,None-control,850,,
85,Charlie Andersen,Man,Anglo,None-control,850,,
86,Charlie Andersen,Man,Anglo,None-control,850,,
87,Charlie Andersen,Man,Anglo,None-control,None-control,,
88,Charlie Andersen,Man,Anglo,None-control,None-control,,
89,Charlie Andersen,Man,Anglo,None-control,None-control,,
90,Charlie Becker,Man,Anglo,no record of eviction,500,,
91,Charlie Becker,Man,Anglo,no record of eviction,500,,
92,Charlie Becker,Man,Anglo,no record of eviction,500,,
93,Charlie Becker,Man,Anglo,no record of eviction,600,,
94,Charlie Becker,Man,Anglo,no record of eviction,600,,
95,Charlie Becker,Man,Anglo,no record of eviction,600,,
96,Charlie Becker,Man,Anglo,no record of eviction,650,,
97,Charlie Becker,Man,Anglo,no record of eviction,650,,
98,Charlie Becker,Man,Anglo,no record of eviction,650,,
99,Charlie Becker,Man,Anglo,no record of eviction,750,,
100,Charlie Becker,Man,Anglo,no record of eviction,750,,
101,Charlie Becker,Man,Anglo,no record of eviction,750,,
102,Charlie Becker,Man,Anglo,no record of eviction,850,,
103,Charlie Becker,Man,Anglo,no record of eviction,850,,
104,Charlie Becker,Man,Anglo,no record of eviction,850,,
105,Charlie Becker,Man,Anglo,no record of eviction,None-control,,
106,Charlie Becker,Man,Anglo,no record of eviction,None-control,,
107,Charlie Becker,Man,Anglo,no record of eviction,None-control,,
108,Charlie Becker,Man,Anglo,previously been evicted,500,,
109,Charlie Becker,Man,Anglo,previously been evicted,500,,
110,Charlie Becker,Man,Anglo,previously been evicted,500,,
111,Charlie Becker,Man,Anglo,previously been evicted,600,,
112,Charlie Becker,Man,Anglo,previously been evicted,600,,
113,Charlie Becker,Man,Anglo,previously been evicted,600,,
114,Charlie Becker,Man,Anglo,previously been evicted,650,,
115,Charlie Becker,Man,Anglo,previously been evicted,650,,
116,Charlie Becker,Man,Anglo,previously been evicted,650,,
117,Charlie Becker,Man,Anglo,previously been evicted,750,,
118,Charlie Becker,Man,Anglo,previously been evicted,750,,
119,Charlie Becker,Man,Anglo,previously been evicted,750,,
120,Charlie Becker,Man,Anglo,previously been evicted,850,,
121,Charlie Becker,Man,Anglo,previously been evicted,850,,
122,Charlie Becker,Man,Anglo,previously been evicted,850,,
123,Charlie Becker,Man,Anglo,previously been evicted,None-control,,
124,Charlie Becker,Man,Anglo,previously been evicted,None-control,,
125,Charlie Becker,Man,Anglo,previously been evicted,None-control,,
126,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,500,,
127,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,500,,
128,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,500,,
129,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,600,,
130,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,600,,
131,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,600,,
132,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,650,,
133,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,650,,
134,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,650,,
135,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,750,,
136,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,750,,
137,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,750,,
138,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,850,,
139,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,850,,
140,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,850,,
141,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,None-control,,
142,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,None-control,,
143,Charlie Becker,Man,Anglo,previously been evicted 6 years ago,None-control,,
144,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,500,,
145,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,500,,
146,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,500,,
147,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,600,,
148,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,600,,
149,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,600,,
150,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,650,,
151,Charlie Becker,Man,Anglo,gone to eviction court but their case was dismissed,650,,
