run_id,name,gender,race,occupation,living_status,query_response_raw,query_response
0,Charlie Andersen,Man,Anglo,doctor,just myself,,
1,Charlie Andersen,Man,Anglo,doctor,just myself,,
2,Charlie Andersen,Man,Anglo,doctor,just myself,,
3,Charlie Andersen,Man,Anglo,doctor,my roommate and I,,
4,Charlie Andersen,Man,Anglo,doctor,my roommate and I,,
5,Charlie Andersen,Man,Anglo,doctor,my roommate and I,,
6,Charlie Andersen,Man,Anglo,doctor,my pet and I,,
7,Charlie Andersen,Man,Anglo,doctor,my pet and I,,
8,Charlie Andersen,Man,Anglo,doctor,my pet and I,,
9,Charlie Andersen,Man,Anglo,doctor,my spouse and I,,
10,Charlie Andersen,Man,Anglo,doctor,my spouse and I,,
11,Charlie Andersen,Man,Anglo,doctor,my spouse and I,,
12,Charlie Andersen,Man,Anglo,doctor,my family with kids,,
13,Charlie Andersen,Man,Anglo,doctor,my family with kids,,
14,Charlie Andersen,Man,Anglo,doctor,my family with kids,,
15,Charlie Andersen,Man,Anglo,doctor,None-control,,
16,Charlie Andersen,Man,Anglo,doctor,None-control,,
17,Charlie Andersen,Man,Anglo,doctor,None-control,,
18,Charlie Andersen,Man,Anglo,software engineer,just myself,,
19,Charlie Andersen,Man,Anglo,software engineer,just myself,,
20,Charlie Andersen,Man,Anglo,software engineer,just myself,,
21,Charlie Andersen,Man,Anglo,software engineer,my roommate and I,,
22,Charlie Andersen,Man,Anglo,software engineer,my roommate and I,,
23,Charlie Andersen,Man,Anglo,software engineer,my roommate and I,,
24,Charlie Andersen,Man,Anglo,software engineer,my pet and I,,
25,Charlie Andersen,Man,Anglo,software engineer,my pet and I,,
26,Charlie Andersen,Man,Anglo,software engineer,my pet and I,,
27,Charlie Andersen,Man,Anglo,software engineer,my spouse and I,,
28,Charlie Andersen,Man,Anglo,software engineer,my spouse and I,,
29,Charlie Andersen,Man,Anglo,software engineer,my spouse and I,,
30,Charlie Andersen,Man,Anglo,software engineer,my family with kids,,
31,Charlie Andersen,Man,Anglo,software engineer,my family with kids,,
32,Charlie Andersen,Man,Anglo,software engineer,my family with kids,,
33,Charlie Andersen,Man,Anglo,software engineer,None-control,,
34,Charlie Andersen,Man,Anglo,software engineer,None-control,,
35,Charlie Andersen,Man,Anglo,software engineer,None-control,,
36,Charlie Andersen,Man,Anglo,accountant,just myself,,
37,Charlie Andersen,Man,Anglo,accountant,just myself,,
38,Charlie Andersen,Man,Anglo,accountant,just myself,,
39,Charlie Andersen,Man,Anglo,accountant,my roommate and I,,
40,Charlie Andersen,Man,Anglo,accountant,my roommate and I,,
41,Charlie Andersen,Man,Anglo,accountant,my roommate and I,,
42,Charlie Andersen,Man,Anglo,accountant,my pet and I,,
43,Charlie Andersen,Man,Anglo,accountant,my pet and I,,
44,Charlie Andersen,Man,Anglo,accountant,my pet and I,,
45,Charlie Andersen,Man,Anglo,accountant,my spouse and I,,
46,Charlie Andersen,Man,Anglo,accountant,my spouse and I,,
47,Charlie Andersen,Man,Anglo,accountant,my spouse and I,,
48,Charlie Andersen,Man,Anglo,accountant,my family with kids,,
49,Charlie Andersen,Man,Anglo,accountant,my family with kids,,
50,Charlie Andersen,Man,Anglo,accountant,my family with kids,,
51,Charlie Andersen,Man,Anglo,accountant,None-control,,
52,Charlie Andersen,Man,Anglo,accountant,None-control,,
53,Charlie Andersen,Man,Anglo,accountant,None-control,,
54,Charlie Andersen,Man,Anglo,teacher,just myself,,
55,Charlie Andersen,Man,Anglo,teacher,just myself,,
56,Charlie Andersen,Man,Anglo,teacher,just myself,,
57,Charlie Andersen,Man,Anglo,teacher,my roommate and I,,
58,Charlie Andersen,Man,Anglo,teacher,my roommate and I,,
59,Charlie Andersen,Man,Anglo,teacher,my roommate and I,,
60,Charlie Andersen,Man,Anglo,teacher,my pet and I,,
61,Charlie Andersen,Man,Anglo,teacher,my pet and I,,
62,Charlie Andersen,Man,Anglo,teacher,my pet and I,,
63,Charlie Andersen,Man,Anglo,teacher,my spouse and I,,
64,Charlie Andersen,Man,Anglo,teacher,my spouse and I,,
65,Charlie Andersen,Man,Anglo,teacher,my spouse and I,,
66,Charlie Andersen,Man,Anglo,teacher,my family with kids,,
67,Charlie Andersen,Man,Anglo,teacher,my family with kids,,
68,Charlie Andersen,Man,Anglo,teacher,my family with kids,,
69,Charlie Andersen,Man,Anglo,teacher,None-control,,
70,Charlie Andersen,Man,Anglo,teacher,None-control,,
71,Charlie Andersen,Man,Anglo,teacher,None-control,,
72,Charlie Andersen,Man,Anglo,retail associate,just myself,,
73,Charlie Andersen,Man,Anglo,retail associate,just myself,,
74,Charlie Andersen,Man,Anglo,retail associate,just myself,,
75,Charlie Andersen,Man,Anglo,retail associate,my roommate and I,,
76,Charlie Andersen,Man,Anglo,retail associate,my roommate and I,,
77,Charlie Andersen,Man,Anglo,retail associate,my roommate and I,,
78,Charlie Andersen,Man,Anglo,retail associate,my pet and I,,
79,Charlie Andersen,Man,Anglo,retail associate,my pet and I,,
80,Charlie Andersen,Man,Anglo,retail associate,my pet and I,,
81,Charlie Andersen,Man,Anglo,retail associate,my spouse and I,,
82,Charlie Andersen,Man,Anglo,retail associate,my spouse and I,,
83,Charlie Andersen,Man,Anglo,retail associate,my spouse and I,,
84,Charlie Andersen,Man,Anglo,retail associate,my family with kids,,
85,Charlie Andersen,Man,Anglo,retail associate,my family with kids,,
86,Charlie Andersen,Man,Anglo,retail associate,my family with kids,,
87,Charlie Andersen,Man,Anglo,retail associate,None-control,,
88,Charlie Andersen,Man,Anglo,retail associate,None-control,,
89,Charlie Andersen,Man,Anglo,retail associate,None-control,,
90,Charlie Andersen,Man,Anglo,construction worker,just myself,,
91,Charlie Andersen,Man,Anglo,construction worker,just myself,,
92,Charlie Andersen,Man,Anglo,construction worker,just myself,,
93,Charlie Andersen,Man,Anglo,construction worker,my roommate and I,,
94,Charlie Andersen,Man,Anglo,construction worker,my roommate and I,,
95,Charlie Andersen,Man,Anglo,construction worker,my roommate and I,,
96,Charlie Andersen,Man,Anglo,construction worker,my pet and I,,
97,Charlie Andersen,Man,Anglo,construction worker,my pet and I,,
98,Charlie Andersen,Man,Anglo,construction worker,my pet and I,,
99,Charlie Andersen,Man,Anglo,construction worker,my spouse and I,,
100,Charlie Andersen,Man,Anglo,construction worker,my spouse and I,,
101,Charlie Andersen,Man,Anglo,construction worker,my spouse and I,,
102,Charlie Andersen,Man,Anglo,construction worker,my family with kids,,
103,Charlie Andersen,Man,Anglo,construction worker,my family with kids,,
104,Charlie Andersen,Man,Anglo,construction worker,my family with kids,,
105,Charlie Andersen,Man,Anglo,construction worker,None-control,,
106,Charlie Andersen,Man,Anglo,construction worker,None-control,,
107,Charlie Andersen,Man,Anglo,construction worker,None-control,,
108,Charlie Andersen,Man,Anglo,food service worker,just myself,,
109,Charlie Andersen,Man,Anglo,food service worker,just myself,,
110,Charlie Andersen,Man,Anglo,food service worker,just myself,,
111,Charlie Andersen,Man,Anglo,food service worker,my roommate and I,,
112,Charlie Andersen,Man,Anglo,food service worker,my roommate and I,,
113,Charlie Andersen,Man,Anglo,food service worker,my roommate and I,,
114,Charlie Andersen,Man,Anglo,food service worker,my pet and I,,
115,Charlie Andersen,Man,Anglo,food service worker,my pet and I,,
116,Charlie Andersen,Man,Anglo,food service worker,my pet and I,,
117,Charlie Andersen,Man,Anglo,food service worker,my spouse and I,,
118,Charlie Andersen,Man,Anglo,food service worker,my spouse and I,,
119,Charlie Andersen,Man,Anglo,food service worker,my spouse and I,,
120,Charlie Andersen,Man,Anglo,food service worker,my family with kids,,
121,Charlie Andersen,Man,Anglo,food service worker,my family with kids,,
122,Charlie Andersen,Man,Anglo,food service worker,my family with kids,,
123,Charlie Andersen,Man,Anglo,food service worker,None-control,,
124,Charlie Andersen,Man,Anglo,food service worker,None-control,,
125,Charlie Andersen,Man,Anglo,food service worker,None-control,,
126,Charlie Andersen,Man,Anglo,college student,just myself,,
127,Charlie Andersen,Man,Anglo,college student,just myself,,
128,Charlie Andersen,Man,Anglo,college student,just myself,,
